job_title,skills_languages,skills_frameworks,skills_databases,skills_platforms,wanted_languages,wanted_frameworks,wanted_databases,wanted_platforms,hiring_algorithms,hiring_tech_exp,hiring_communication,hiring_opensource,hiring_education,hiring_execution,problem_solving,building_things,learning_new_tech,invest_time_tools,collaborate_remote,country,years_coding_numeric,job_category
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Canada,8.5,Web Developer
Not specified,C; C++; Java,,,,,,,,Important,Somewhat important,Not at all important,Not at all important,Important,Very important,Unknown,Unknown,Unknown,Unknown,Strongly agree,United Kingdom,4.5,Not specified
Web developer,Java; JavaScript; Ruby; SQL,React,Redis; MySQL; PostgreSQL,Amazon Web Services (AWS),JavaScript; Ruby; Rust; Swift,React,Redis; PostgreSQL,Amazon Web Services (AWS),Somewhat important,Somewhat important,Important,Somewhat important,Not very important,Important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Germany,15.5,Web Developer
Embedded applications/devices developer,Assembly; C; C++,,,Mac OS,Assembly; C; C++; Python,,,Mac OS,Important,Important,Important,Somewhat important,Important,Important,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,United Kingdom,20.0,Embedded Developer
Desktop applications developer,JavaScript; VB.NET,,,Windows Desktop,C#; F#; JavaScript; R; VB.NET,Xamarin; .NET Core,SQL Server,Windows Desktop,Somewhat important,Somewhat important,Somewhat important,Important,Not very important,Very important,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,United States,1.5,Desktop Developer
Web developer,JavaScript,AngularJS; Node.js; React; Cordova,,Amazon Web Services (AWS),Clojure,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Strongly agree,Agree,Agree,Unknown,United Kingdom,8.5,Web Developer
Web developer; Embedded applications/devices developer; DevOps specialist; Quality assurance engineer; Other,C; Clojure; JavaScript; Matlab; Rust; SQL; Swift,React,MySQL; PostgreSQL; Oracle,Linux Desktop; Amazon Web Services (AWS),Assembly; Clojure; Go; JavaScript; Rust; Swift; TypeScript,React; .NET Core,,Android; iOS; Linux Desktop; Arduino; Serverless; Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Agree,Unknown,United States,20.0,Web Developer
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Agree,Unknown,United States,3.5,Web Developer
Data scientist; Other,Perl; Python,,MySQL,,Perl; Python,,PostgreSQL,,Important,Somewhat important,Important,Somewhat important,Not very important,Very important,Strongly agree,Strongly agree,Agree,Agree,Disagree,Greece,12.5,Data Scientist
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brazil,0.5,Web Developer
Web developer; Mobile developer; Desktop applications developer; DevOps specialist; Other,C#; JavaScript; SQL,AngularJS,SQL Server,Windows Phone; Windows Desktop; Raspberry Pi; Microsoft Azure,C#; R; TypeScript,React; .NET Core,MongoDB; Redis,Windows Phone; Windows Desktop; Microsoft Azure,Somewhat important,Important,Somewhat important,Not very important,Somewhat important,Important,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,United Kingdom,20.0,Web Developer
Other,Java,Hadoop; Spark,Cassandra; MySQL,,Java; Scala; Swift,Spark,MongoDB,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Israel,5.5,Other
Web developer,PHP; SQL,,MySQL,Windows Desktop; WordPress,Hack; JavaScript; PHP; SQL; Swift,Node.js; React,Redis; MySQL; PostgreSQL,Windows Desktop; Amazon Web Services (AWS),Important,Very important,Very important,Somewhat important,Not very important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Strongly disagree,Italy,7.5,Web Developer
Web developer; Other,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Belgium,9.5,Web Developer
Web developer,Java; Scala,Spark,MySQL,,JavaScript; Scala,AngularJS; Spark,Cassandra,Raspberry Pi,Somewhat important,Not very important,Very important,Somewhat important,Not very important,Important,Agree,Strongly agree,Strongly agree,Somewhat agree,Unknown,United States,16.5,Web Developer
Web developer; Mobile developer,Java; JavaScript; Objective-C; Python; Swift,Hadoop; Node.js,MongoDB; MySQL,,Go; Java; JavaScript; R; Swift,Hadoop; Node.js,MongoDB; SQL Server,Amazon Web Services (AWS),Important,Not very important,Somewhat important,Somewhat important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,India,9.5,Web Developer
Web developer; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,0.5,Web Developer
Not specified,JavaScript; Python,Node.js,,Mac OS; Arduino; Serverless; Amazon Web Services (AWS),JavaScript,,,Arduino; Serverless; Amazon Web Services (AWS),Not very important,Not very important,Very important,Very important,Not at all important,Very important,Agree,Agree,Strongly agree,Somewhat agree,Unknown,Israel,13.5,Not specified
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,3.5,Not specified
Web developer; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Israel,5.5,Web Developer
Web developer; Mobile developer; Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Chile,6.5,Web Developer
Not specified,C#; Java,,,Windows Desktop; Linux Desktop,C++; C#; Haskell,,,Windows Desktop; Linux Desktop,Important,Somewhat important,Important,Somewhat important,Not very important,Very important,Strongly agree,Agree,Agree,Agree,Unknown,Germany,4.5,Not specified
Web developer,JavaScript,Node.js; React; Firebase,MongoDB,,Haskell; Python; R; Rust; TypeScript,AngularJS,Cassandra; Redis,iOS; Amazon Web Services (AWS),Somewhat important,Very important,Somewhat important,Not very important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Brazil,6.5,Web Developer
Embedded applications/devices developer,Assembly; C,,MySQL,,C++; Elixir; Python,,MongoDB,,Very important,Somewhat important,Important,Not very important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Strongly agree,Croatia,1.5,Embedded Developer
Machine learning specialist; Developer with a statistics or mathematics background,C#; JavaScript; Matlab; Python; R,AngularJS; .NET Core,Cassandra; MongoDB; Redis; SQL Server; PostgreSQL,Raspberry Pi; SharePoint; WordPress; Amazon Web Services (AWS); Microsoft Azure,JavaScript; Python; R,AngularJS; Hadoop; React; Spark,MongoDB; Redis; PostgreSQL,WordPress; Amazon Web Services (AWS),Somewhat important,Important,Not very important,Important,Important,Not very important,Agree,Agree,Strongly agree,Somewhat agree,Unknown,Italy,2.5,Data Scientist
Web developer; Mobile developer; Desktop applications developer,C#; F#; JavaScript; SQL,AngularJS,SQL Server,Windows Desktop; Microsoft Azure,C#; F#; SQL; TypeScript,AngularJS; Spark; Xamarin; .NET Core,Redis; SQL Server; SQLite,Android; iOS; Windows Desktop; Microsoft Azure,Somewhat important,Somewhat important,Very important,Somewhat important,Not at all important,Very important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unknown,Argentina,9.5,Web Developer
Web developer,C#; Java; JavaScript,Node.js; .NET Core,SQL Server; SQLite,Android,C#; JavaScript,React; .NET Core,SQL Server,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Agree,Agree,Unknown,Disagree,Germany,7.5,Web Developer
Web developer; Database administrator,C#; JavaScript; SQL; TypeScript,Node.js,SQL Server; SQLite,Windows Desktop; Microsoft Azure,C#; F#; Haskell; TypeScript,.NET Core,MongoDB,Microsoft Azure,Important,Very important,Very important,Important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Disagree,Netherlands,20.0,Web Developer
Desktop applications developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United States,5.5,Desktop Developer
Not specified,C; C++; JavaScript; Lua; Python,,,Windows Desktop; Linux Desktop; Arduino; Raspberry Pi,C++; Lua; R,,,Linux Desktop; Raspberry Pi,Very important,Not very important,Very important,Not very important,Somewhat important,Important,Strongly agree,Agree,Agree,Strongly agree,Unknown,United States,20.0,Not specified
Web developer; Database administrator; DevOps specialist,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Denmark,17.5,Web Developer
Web developer,Java; JavaScript; SQL,AngularJS; Node.js,MySQL,,C++; C#; Java; JavaScript; SQL,Node.js,MongoDB; MySQL; PostgreSQL,Linux Desktop; Raspberry Pi; Serverless; Amazon Web Services (AWS); Microsoft Azure,Very important,Very important,Somewhat important,Somewhat important,Not at all important,Not very important,Unknown,Unknown,Unknown,Unknown,Unknown,Ukraine,0.5,Web Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Croatia,4.5,Not specified
Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Java; JavaScript; SQL; VBA,,MongoDB; SQL Server; MySQL,Windows Desktop; Linux Desktop,Clojure; Groovy; JavaScript; Scala,React; Spark,,,Very important,Somewhat important,Important,Not very important,Not very important,Important,Strongly agree,Strongly agree,Agree,Agree,Agree,United States,10.5,Web Developer
Not specified,C; C++; Groovy; Java; Python,,,,,,,,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Agree,Agree,Somewhat agree,Agree,Disagree,United States,4.5,Not specified
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,United States,4.5,Not specified
Web developer; Mobile developer; Desktop applications developer,C++; C#; Java; JavaScript; Lua; SQL,Cordova; Xamarin; .NET Core,SQL Server; MySQL; Oracle,Android; Windows Phone; Windows Desktop; Amazon Web Services (AWS); Microsoft Azure,C++; C#; F#; JavaScript; SQL,AngularJS; Cordova; Xamarin; .NET Core,MongoDB; SQL Server; Oracle; SQLite,Android; iOS; Windows Phone; Windows Desktop; Raspberry Pi; Serverless; Microsoft Azure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Sri Lanka,2.5,Web Developer
Web developer; Mobile developer; Systems administrator,JavaScript; Ruby,Node.js; React,MongoDB; Redis; MySQL; PostgreSQL; SQLite,Linux Desktop; Mac OS; Serverless,Clojure; Elixir; JavaScript; Ruby,Node.js; React,MongoDB; Redis; PostgreSQL,Linux Desktop; Mac OS; Serverless; Amazon Web Services (AWS),Important,Important,Somewhat important,Somewhat important,Somewhat important,Important,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Unknown,Malaysia,5.5,Web Developer
Web developer; Mobile developer,C#; Java; SQL,Xamarin,MongoDB; SQL Server; Oracle,Android; Windows Phone; SharePoint; Microsoft Azure,F#; Go; TypeScript,AngularJS; .NET Core,Redis,Serverless; Salesforce,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,United States,20.0,Web Developer
Web developer,JavaScript,AngularJS; Node.js,MongoDB,,JavaScript,AngularJS; Node.js; React,MongoDB,,Important,Very important,Important,Not very important,Important,Important,Agree,Strongly agree,Agree,Agree,Agree,Israel,1.5,Web Developer
Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; DevOps specialist,Assembly; C++; Groovy; Java; Perl; SQL,Hadoop,MongoDB; PostgreSQL; Oracle; SQLite,Android; Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS),Assembly; C++; Groovy; Java; Perl; Python,,Oracle; SQLite,Android; Linux Desktop,Important,Somewhat important,Very important,Not at all important,Very important,Very important,Strongly agree,Strongly agree,Agree,Agree,Agree,United States,7.5,Web Developer
Web developer; Mobile developer; Quality assurance engineer,Java; JavaScript; PHP; Ruby,AngularJS; Node.js,Redis; MySQL,Linux Desktop,Clojure; Elixir; Go; Ruby,AngularJS; React,Redis; PostgreSQL,Android; Linux Desktop; Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Brazil,1.5,Web Developer
Web developer,Java; JavaScript,,Redis; SQL Server; MySQL,,CoffeeScript; Clojure; Go; JavaScript,Node.js; React,Redis; MySQL,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Agree,Somewhat agree,Somewhat agree,United Kingdom,20.0,Web Developer
Web developer,Java; JavaScript; PHP,AngularJS; Node.js; Cordova,MongoDB; Redis; MySQL; SQLite,Android,TypeScript,React,,Amazon Web Services (AWS),Very important,Not very important,Important,Important,Not very important,Important,Unknown,Unknown,Unknown,Unknown,Unknown,Germany,4.5,Web Developer
Not specified,Java; JavaScript; PHP; SQL; VB.NET,,SQL Server; MySQL,Android,,,,,Important,Very important,Important,Not very important,Not very important,Somewhat important,Agree,Strongly agree,Somewhat agree,Unknown,Somewhat agree,Finland,2.5,Not specified
Not specified,C#,.NET Core,,Windows Desktop,C#; F#,Xamarin; .NET Core,SQL Server,Windows Phone; Windows Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Disagree,United States,4.5,Not specified
Mobile developer,Go; Java,,,Android,C#; Go; Java; Scala,.NET Core,,Android,Somewhat important,Important,Important,Somewhat important,Important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Disagree,Italy,4.5,Mobile Developer
Web developer; Desktop applications developer,C#; JavaScript; SQL,AngularJS; Node.js; Firebase; .NET Core,SQL Server,Amazon Web Services (AWS),C#; F#; Go; JavaScript,AngularJS; Node.js; Firebase; .NET Core,MongoDB,Serverless; Amazon Web Services (AWS); Microsoft Azure,Not very important,Important,Somewhat important,Very important,Somewhat important,Very important,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Turkey,10.5,Web Developer
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Somewhat agree,Disagree,Unknown,Poland,9.5,Web Developer
Not specified,C#,.NET Core,,Windows Desktop,Assembly; C; C#; Matlab,Xamarin; .NET Core,,,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Important,Unknown,Unknown,Unknown,Unknown,Agree,Canada,20.0,Not specified
Web developer,C#; JavaScript; SQL,.NET Core,SQL Server,,Java; Objective-C,AngularJS,Oracle; SQLite,Android; iOS,Somewhat important,Important,Somewhat important,Not very important,Somewhat important,Somewhat important,Agree,Somewhat agree,Agree,Somewhat agree,Agree,India,1.5,Web Developer
Web developer,PHP,,MySQL,WordPress,PHP,,MySQL,WordPress,Not very important,Important,Very important,Important,Not very important,Important,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Ukraine,16.5,Web Developer
Web developer; Mobile developer; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,C++; C#; Java; JavaScript; Python; Ruby; SQL; Swift; VBA,.NET Core,MongoDB; SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Android; Linux Desktop; Amazon Web Services (AWS),,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Somewhat agree,Agree,Disagree,United Kingdom,2.5,Web Developer
Desktop applications developer,C; C++; C#; Java; JavaScript; Matlab; SQL,.NET Core,SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Windows Desktop; Microsoft Azure,Erlang; F#; R; SQL; Swift,Xamarin,Cassandra; MongoDB,,Somewhat important,Important,Very important,Not very important,Important,Somewhat important,Agree,Agree,Agree,Disagree,Strongly agree,Netherlands,4.5,Desktop Developer
Web developer,JavaScript,AngularJS; Node.js; React,MongoDB; Redis; MySQL,Mac OS; Amazon Web Services (AWS),Go; JavaScript,Node.js; React,MongoDB; Redis; MySQL,Mac OS; Amazon Web Services (AWS),Important,Very important,Very important,Not at all important,Somewhat important,Important,Strongly agree,Strongly agree,Agree,Somewhat agree,Unknown,Poland,2.5,Web Developer
Mobile developer; Graphics programming; Desktop applications developer,C++; C#; Objective-C,.NET Core,,Android; iOS; Windows Phone,C++; C#; Python,.NET Core,,Windows Phone,Somewhat important,Not very important,Somewhat important,Not very important,Somewhat important,Somewhat important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,India,8.5,Desktop Developer
Embedded applications/devices developer,C; C++; Python; SQL,,MySQL,Arduino,C++; Java; Python,,,Android; Arduino,Somewhat important,Somewhat important,Important,Not very important,Somewhat important,Very important,Strongly agree,Agree,Agree,Disagree,Somewhat agree,United States,20.0,Embedded Developer
Web developer; Systems administrator; DevOps specialist,CoffeeScript; JavaScript; Ruby; SQL,Node.js; React,Redis; PostgreSQL,Amazon Web Services (AWS); Microsoft Azure,Common Lisp; Clojure; Erlang; Go; JavaScript; Ruby; SQL,,Redis; PostgreSQL,Raspberry Pi; Amazon Web Services (AWS); Microsoft Azure,Somewhat important,Somewhat important,Important,Somewhat important,Not very important,Very important,Unknown,Unknown,Unknown,Unknown,Somewhat agree,Italy,16.5,Web Developer
Web developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Spain,4.5,Web Developer
Web developer,CoffeeScript; JavaScript; Ruby,,Redis; PostgreSQL; SQLite,Amazon Web Services (AWS),Elixir; JavaScript,React,,,Somewhat important,Somewhat important,Important,Somewhat important,Not very important,Important,Unknown,Unknown,Unknown,Unknown,Unknown,United States,1.5,Web Developer
Web developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,JavaScript; PHP; Python; SQL,,Redis; MySQL,WordPress; Amazon Web Services (AWS),JavaScript; PHP; Rust,,Redis; MySQL,Linux Desktop; Raspberry Pi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Somewhat agree,Agree,Disagree,Finland,5.5,Web Developer
Web developer,C#; JavaScript; SQL,Node.js; React; Spark; Xamarin,Cassandra,Microsoft Azure,C#; F#; JavaScript; Python; Rust; TypeScript,Node.js; React; Spark; Xamarin; .NET Core,Cassandra; Redis; PostgreSQL,Android; iOS; Serverless; Amazon Web Services (AWS); Microsoft Azure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,United States,20.0,Web Developer
DevOps specialist; Other,Elixir; Java; JavaScript; SQL,AngularJS,PostgreSQL; SQLite,Linux Desktop; Mac OS; WordPress; Amazon Web Services (AWS),,,Oracle; SQLite,Linux Desktop; Mac OS; Amazon Web Services (AWS),Important,Important,Important,Somewhat important,Not very important,Important,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Austria,12.5,DevOps Engineer
Developer with a statistics or mathematics background,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Germany,2.5,Data Scientist
Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Desktop applications developer; DevOps specialist,Assembly; C; C++; Java; JavaScript; Perl; Python; Ruby; SQL; TypeScript,,MySQL; Oracle; SQLite,Android; Windows Desktop; Linux Desktop; Raspberry Pi,Dart; Python,Hadoop; React,PostgreSQL; SQLite,Android; Linux Desktop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Agree,Somewhat agree,Somewhat agree,Disagree,France,16.5,Web Developer
Web developer,C#; JavaScript,,SQL Server,,C#,.NET Core,SQL Server,,Somewhat important,Very important,Important,Somewhat important,Somewhat important,Very important,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,United States,20.0,Web Developer
Web developer; Developer with a statistics or mathematics background,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,United Kingdom,2.5,Web Developer
Web developer; Mobile developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Disagree,United Kingdom,1.5,Web Developer
Web developer; Desktop applications developer; Systems administrator; DevOps specialist,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly agree,Agree,Somewhat agree,Agree,Unknown,United States,14.5,Web Developer
Web developer,C#; JavaScript; PHP; Python; SQL; TypeScript; VB.NET,AngularJS; Hadoop; Node.js; React; Cordova; Firebase; .NET Core,MongoDB; SQL Server; MySQL; PostgreSQL; SQLite,,,,,,Somewhat important,Important,Important,Somewhat important,Not at all important,Important,Agree,Strongly agree,Agree,Somewhat agree,Unknown,Israel,2.5,Web Developer
Web developer,Java; SQL,,SQL Server; MySQL,Amazon Web Services (AWS),Groovy; Java; Smalltalk; SQL,,SQL Server,Windows Desktop; Amazon Web Services (AWS),Important,Not very important,Very important,Not at all important,Somewhat important,Very important,Unknown,Unknown,Unknown,Unknown,Strongly agree,United States,13.5,Web Developer
Web developer; Mobile developer; Data scientist; Graphic designer; Desktop applications developer; Quality assurance engineer,C++; C#; JavaScript; SQL,AngularJS; Node.js; .NET Core,SQL Server,Windows Phone; Windows Desktop; Microsoft Azure,C++; C#; JavaScript; R,AngularJS; Node.js; React,MongoDB; Redis,Android; iOS; Raspberry Pi; Amazon Web Services (AWS),Important,Important,Very important,Not very important,Somewhat important,Important,Strongly agree,Strongly agree,Strongly agree,Agree,Unknown,United States,18.5,Web Developer
Web developer,C; C++; Java; JavaScript,AngularJS; Hadoop; Node.js; React,MySQL,Linux Desktop; Mac OS; Raspberry Pi; Amazon Web Services (AWS),C++; JavaScript,AngularJS; Node.js,,Linux Desktop; Amazon Web Services (AWS),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Somewhat agree,Agree,Strongly agree,United States,4.5,Web Developer
Web developer; Mobile developer; Database administrator; Systems administrator,,Node.js,MySQL,Android; Amazon Web Services (AWS),JavaScript; PHP; SQL,AngularJS; Node.js; Firebase,MySQL,Amazon Web Services (AWS),Somewhat important,Very important,Very important,Somewhat important,Not very important,Very important,Agree,Agree,Agree,Agree,Strongly agree,Mexico,4.5,Web Developer
Embedded applications/devices developer,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Agree,Agree,Strongly agree,Somewhat agree,Unknown,Poland,2.5,Embedded Developer
Mobile developer,,,,,,,,,Not very important,Important,Important,Somewhat important,Important,Important,Somewhat agree,Strongly agree,Somewhat agree,Unknown,Unknown,Germany,10.5,Mobile Developer
Not specified,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,United Kingdom,4.5,Not specified
Web developer,Java; PHP; Python; Ruby; SQL,Node.js; .NET Core,PostgreSQL,Android; Amazon Web Services (AWS),Clojure; Elixir; Python; Ruby,,PostgreSQL,Amazon Web Services (AWS),Important,Somewhat important,Important,Important,Not very important,Important,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Unknown,Brazil,4.5,Web Developer
Web developer,JavaScript; Scala,React; Spark,Redis; PostgreSQL,,Haskell; Rust; Scala,React,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly disagree,Brazil,11.5,Web Developer
Web developer,C; JavaScript; Python,React,,,,Node.js,,,Important,Not very important,Important,Somewhat important,Not very important,Important,Agree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Croatia,3.5,Web Developer
